review_index,review_unique_id,data_source,airline,review_language,date,raw_text,ratings,lounge_name,airport,translated_text
611,9fb89818-e726-5c19-9734-3616cdc22167,tripadvisor,saudia,es,04-01-2026 00:00,"Retraso de trece horas sin información ni atenciòn ni compensación de ningún tipo. Retraso de 13 horas sin información sobre el motivo. Nula atención al cliente, ni comida ni bebida durante el retraso. Nadie nosdió ninguna explicación. Cuando reclamamos, al regreso del viaje, se niegan a compensarnos alegando que el retraso fue por ""causas ajenas a su voluntad"", sin ninguna aclaración sobre dichas causas. Intenten evitar esta compañía",2.125,,,"Thirteen-hour delay without information, attention, or any compensation. 13-hour delay without information about the reason. No customer service, no food or drink during the delay. No one gave us any explanation. When we complained after the trip, they refused to compensate us claiming the delay was due to ""causes beyond their control,"" without any clarification about those causes. Try to avoid this company."
37,59384296-c815-5587-99fd-14e8c3b8c07e,googleReview,flynas,es,08-01-2026 00:00,Bad experience 👎🏻 …,1,,,Bad experience 👎🏻 …
603,e1039f4b-035d-52f4-a5fe-19048db4e782,tripadvisor,saudia,it,08-01-2026 00:00,"PEGGIOR VIAGGIO DELLA MIA VITA A causa di overbooking del volo Jeddah- Jakarta del 25 Luglio 2025 io ed altre persone non abbiamo potuto prendere il volo, rimanendo bloccati a Jeddah per tutta la notte.
Lo staff di Saudia nell’aeroporto di Jeddah ci ha indirizzato in un volo del giorno dopo (e ci ha assicurato che avremmo avuto un rimborso del biglietto della tratta Jeddah-Jakarta di almeno il 150%), ma a causa del gravissimo ritardo, abbiamo perso la coincidenza del volo che avremmo avuto successivamente, Jakarta-Denpasar a causa del loro disguido e abbiamo dovuto acquistare un nuovo biglietto, (dal costo di 104€), e abbiamo dovuto trovarci un hotel a nostre spese per la notte a Jakarta, ci hanno garantito che anche questi sarebbero stati rimborsati.
Di conseguenza abbiamo perso ANCHE una notte già pagata nella casa prenotata a Bali.
A fine vacanza abbiamo scritto alla compagnia utilizzando il form indicato sul loro sito, come suggerito dai dipendenti di suadia, che prometteva una risposta entro tot settimane. Sono passati mesi e ancora NESSUNA risposta, servizio clienti TERRIBILE, se chiamate vi dicono che non sanno niente e l'unica cosa che si può fare è aspettare che rispondano via mail (cosa che non fanno).
In sintesi: volo spostato di un giorno intero, coincidenza persa, hotel a nostre spese, aerei vecchi e spesso sedili con vari problemi, E NESSUN RIMBORSO nonostante le promesse fatte.
PEGGIOR VIAGGIO DELLA MIA VITA, NON USATE QUESTA COMPAGNIA.",1.5,,,"WORST TRIP OF MY LIFE Due to overbooking of the Jeddah-Jakarta flight on July 25, 2025, I and other people could not take the flight, being stuck in Jeddah all night. Saudia staff at Jeddah airport directed us to a flight the next day (and assured us we would get a refund of at least 150% of the Jeddah-Jakarta ticket), but due to the severe delay, we missed the connecting flight Jakarta-Denpasar because of their mistake and had to buy a new ticket (costing 104€), and we had to find a hotel at our own expense for the night in Jakarta, which they guaranteed would also be reimbursed. Consequently, we also lost a night already paid for in the house booked in Bali. At the end of the vacation, we wrote to the company using the form on their website, as suggested by Saudia employees, which promised a response within a few weeks. Months have passed and still NO response, TERRIBLE customer service, if you call they say they know nothing and the only thing you can do is wait for an email reply (which they never send). In summary: flight delayed by a whole day, missed connection, hotel at our expense, old planes and often seats with various problems, AND NO REFUND despite promises made. WORST TRIP OF MY LIFE, DO NOT USE THIS COMPANY."
616,221ab39c-c3b8-581f-842b-30ac818ebdfc,tripadvisor,saudia,ar,02-01-2026 00:00,"إحباط كبير عندما حجزت تذكرتي على الخطوط السعودية، بصفتها الناقل الوطني لدولة خليجية مرموقة، لم يتسلل إلى ذهني للحظة أنني سأعيش تجربة بهذا القدر من السوء. لقد اضطررت لحجز رحلة (عمان - جدة) عبر الرياض (ترانزيت)، وكانت النتيجة سلسلة من الإخفاقات التي لا تُغتفر:
• تخبط المواعيد: قامت الشركة بتغيير موعد الرحلة، مما أدى لتأخري ساعة كاملة عن الوصول لجدة، وهو ما ترتب عليه إلغاء حجز السيارة التي كانت بانتظاري لنقلي إلى مكة المكرمة.
• معاناة الترانزيت: رغم أن حجزي ""ترانزيت""، إلا أنني صُدمت في الرياض بضرورة ختم دخول السعودية، واستلام الحقائب، ثم استقلال حافلة لمدة 20 دقيقة للوصول إلى صالة الرحلات الداخلية والقيام بإجراءات التسجيل (check-in) من جديد! هذا التخبط جعلني في حالة ركض مستمر وضغط عصبي بسبب ضيق الوقت.
• الاستهتار بحقوق الركاب: تم تغيير مقعدي في رحلة الرياض-جدة رغم أنه مقعد مدفوع ثمنه مسبقاً! وعندما احتججت، كان رد الموظفة الواهي: ""ربما المقعد مكسور!"".. كيف لشركة كبرى أن تغير مقعداً مدفوعاً بذرائع غير منطقية؟!
• غياب الخدمات اللوجستية: عند وصولنا الرياض، نزلنا عبر السلالم إلى حافلة استغرقت 10 دقائق لتوصيلنا للمطار! أين الممرات والخراطيم المباشرة؟ هل تُركت للطيران الاقتصادي وحُرم منها ركاب الناقل الوطني؟!
• أسطول متهالك: الطائرات قديمة جداً وتفتقر لأدنى معايير الترفيه؛ فلا شاشات ولا حتى خدمة ترفيه عبر الهاتف. شعرت في رحلتي (عمان-الرياض) و(جدة-عمان) أنني عدت بالزمن إلى طائرات التسعينات.
• وجبات هزيلة: قائمة الطعام لا تليق أبداً باسم ""السعودية""؛ فالاختيار محصور بين قطعة ""بيتزا مارغريتا"" صغيرة أو ""مافن""! هل يعقل أن تكون هذه وجبة رحلة مدتها ساعتان ونصف بين عاصمتين؟ هذا المستوى لا نراه حتى في أفقر شركات الطيران الاقتصادي.
• فوضى بوابات الصعود: في رحلة العودة بجدة، تم تغيير بوابة الصعود فجأة وأنا في السوق الحرة إلى أبعد بوابة في المطار (15 دقيقة مشياً)، مما تسبب في حالة انزعاج ومشي سريع باتجاه البوابة الجديدة البعيدة.
• تدني مستوى النظافة: بدلاً من أغطية الرأس القماشية التي تُبدل لكل راكب، تستخدم الشركة أغطية جلدية ثابتة ومقززة تفتقر لأدنى معايير التعقيم والنظافة.
• ضعف الكفاءات: لغة مسؤول طاقم الطائرة والطيار الإنجليزية (عبر الإذاعة الداخلية) ضعيفة جداً ومليئة بأخطاء ساذجة لا تليق بموظفي ناقل وطني يمثل المملكة أمام العالم.
حقيقة هي تجربة لا ترقى حتى لمستوى الطيران ""منخفض التكاليف""، ولن أكرر تجربة السفر عبر هذه الخطوط مجدداً ما دام هذا هو مستوى خدماتها.",1.875,,,"Great frustration when I booked my ticket on Saudi Airlines, as the national carrier of a prestigious Gulf country, it never crossed my mind that I would have such a bad experience. I had to book a flight (Amman - Jeddah) via Riyadh (transit), and the result was a series of unforgivable failures: • Schedule confusion: The company changed the flight time, causing me to arrive an hour late in Jeddah, which led to the cancellation of the car reservation that was waiting to take me to Mecca. • Transit suffering: Although my booking was 'transit', I was shocked in Riyadh to have to stamp entry into Saudi Arabia, collect luggage, then take a 20-minute bus to the domestic terminal and check in again! This confusion made me run continuously and caused nervous stress due to tight timing. • Disregard for passenger rights: My seat on the Riyadh-Jeddah flight was changed even though it was prepaid! When I complained, the staff's weak response was: 'Maybe the seat is broken!' How can a major company change a paid seat with illogical excuses?! • Lack of logistics: Upon arrival in Riyadh, we descended via stairs to a bus that took 10 minutes to reach the airport! Where are the direct corridors and jet bridges? Are they left only for budget airlines and denied to the national carrier's passengers?! • Worn-out fleet: The planes are very old and lack basic entertainment standards; no screens or even phone entertainment service. I felt on my flights (Amman-Riyadh) and (Jeddah-Amman) like I went back to the 90s planes. • Meager meals: The menu is not worthy of the name 'Saudi'; the choice was limited to a small 'Margherita pizza' or a 'muffin'! Is this a meal for a two and a half hour flight between capitals? This level is not even seen in the poorest budget airlines. • Boarding gate chaos: On the return flight in Jeddah, the boarding gate was suddenly changed while I was in the duty-free to the farthest gate in the airport (15 minutes walk), causing discomfort and a fast walk to the new distant gate. • Poor cleanliness: Instead of cloth headrest covers changed for each passenger, the company uses fixed leather covers that are disgusting and lack basic sterilization and cleanliness standards. • Weak competencies: The English of the cabin crew leader and pilot (via internal radio) is very poor and full of silly mistakes unworthy of employees of a national carrier representing the Kingdom to the world. Honestly, this experience does not even reach the level of 'low-cost' flying, and I will not repeat traveling with this airline as long as this is their service level."
286,b5b7cdcd-538d-54df-9a4d-90ba2ea7092d,googlePlaystore,flynas,ar,03-01-2026 00:00,طابور طويل وانتظار لأكثر من ساعة للوصول إلى الكاونتر.. وعند الوصول أبلغني بإقفال الرحلة,1,,,Long queue and waiting for more than an hour to reach the counter.. and upon arrival I was informed that the flight was closed.
141,85ab381a-03a3-5945-affb-aa79572e2981,appStore,saudia,ar,03-01-2026 00:00,بطي جدا وأسعار وهميه غير انه بطيء ، تحصل سعر مناسب وفي آخر خطوات الحجز يقول الرحله غير موجوده!! استمرّ أيام كذا وعلى نفس الحجز,1,,,"Very slow and fake prices, besides being slow, you get a suitable price and at the last steps of booking it says the flight does not exist!! It continued like this for several days on the same booking."
571,6c3fa265-3612-591a-81c2-124dea4c8738,tripadvisor,flynas,ar,03-01-2026 00:00,"سيئة جداً - رحلة المغادرة تم تأخيرنا ساعة عن موعد الانطلاق

- رحلة العودة البوكس فوق المقعد فيه اغراض المضيفين اضطررت لوضعها في بوكس بعيد عن مقعدي
تعامل المضيفين سيء ويفتقرون للأسلوب ويتحدثون بصوت عالي ومزعج أثناء الرحلة
الحقائب وصلت ممزعة وتم فقدان كرتونة ماء زمزم",,,,"Very bad - Departure flight delayed by an hour. - On the return flight, the box above the seat had the hosts' belongings, I had to put it in a box far from my seat. The hosts' behavior was bad and lacked manners, they spoke loudly and annoyingly during the flight. The suitcases arrived torn and a carton of Zamzam water was lost."
140,4e59ee96-d78f-5c87-b499-7748be35ec25,appStore,saudia,ar,04-01-2026 00:00,الرياض شكرا للخطوط السعودية,5,,,"Riyadh, thanks to Saudi Airlines."
303,9a0f9312-414a-5ba0-b78f-731ae2c53910,googlePlaystore,saudia,ar,04-01-2026 00:00,مشكل طيران السعودي ف حقائب بتضيع هذا مرة الثانية تحدث لي,2,,,"Saudi Airlines problem with lost luggage, this is the second time it happened to me."
302,5ac9f925-49f8-5b7c-b64d-5f2b6baa0c81,googlePlaystore,saudia,ar,04-01-2026 00:00,من اسواء و اقل الشركات احترافية وقلة ادب في المعاملة مع الناس كانت تجربة و الله لا يعيدها في مطار جدة اقرف مما تتخيل,1,,,"One of the worst and least professional companies with rude treatment of people. It was an experience, and I swear I won't repeat it. At Jeddah airport, worse than you can imagine."
