review_index,review_unique_id,data_source,airline,review_language,date,raw_text,ratings,lounge_name,airport,translated_text
615,9519771e-e455-588d-bb47-e77b6e2e3915,tripadvisor,saudia,en,2025-01-07,"Worst Airline & Worst people Poor Service, delays, worst Transit experience. Problem with online check in. Customer service team is rude & unhelpful.",1.0,,,"Worst Airline & Worst people Poor Service, delays, worst Transit experience. Problem with online check in. Customer service team is rude & unhelpful."
614,0cb78cac-0cb7-58d4-acf6-52708d4ffc6a,tripadvisor,saudia,en,2025-01-07,"Mixed Experience with Saudi Airlines I travelled to Saudi Arabia with Saudi Airlines for Omra this year. My outbound trip from Cairo was a pleasant experience. The crew was professional, the flight was stable from takeoff to landing, and the overall service met my expectations. Unfortunately, the return trip was the exact opposite.

Return Trip Issues:
- The experience began poorly during boarding. A visibly agitated Saudi Airlines employee displayed an aggressive attitude toward passengers with Egyptian passports, which was unprofessional and unwelcoming.
- The plane on the return trip vastly differed from the one on the outbound one. It seemed older, with excessively worn-out, uncomfortable, uncleaned washrooms and walls around and poorly maintained seats.
- The cabin crew was disappointing. They wore uniforms different from the usual Saudi Airlines crew and appeared untrained or inexperienced, lacking the professionalism seen on the outbound flight. Their performance felt more like that of students in training than of seasoned professionals.
- The flight itself was nerve-wracking. After crossing the Red Sea, the plane began shaking and swinging, creating a sense of instability that lasted until we landed. The turbulence was persistent and frightening, making me worry for my safety.
The landing was equally unsettling. It felt unstable and rough, and I thought we were nearly crashing.

While my outbound experience with Saudi Airlines was commendable, the return trip raised serious concerns about the consistency of service, aircraft maintenance, and crew training. I hope the airline addresses these issues to ensure a safer and more reliable experience for passengers in the future.",1.0,,,"Mixed Experience with Saudi Airlines I travelled to Saudi Arabia with Saudi Airlines for Omra this year. My outbound trip from Cairo was a pleasant experience. The crew was professional, the flight was stable from takeoff to landing, and the overall service met my expectations. Unfortunately, the return trip was the exact opposite.

Return Trip Issues:
- The experience began poorly during boarding. A visibly agitated Saudi Airlines employee displayed an aggressive attitude toward passengers with Egyptian passports, which was unprofessional and unwelcoming.
- The plane on the return trip vastly differed from the one on the outbound one. It seemed older, with excessively worn-out, uncomfortable, uncleaned washrooms and walls around and poorly maintained seats.
- The cabin crew was disappointing. They wore uniforms different from the usual Saudi Airlines crew and appeared untrained or inexperienced, lacking the professionalism seen on the outbound flight. Their performance felt more like that of students in training than of seasoned professionals.
- The flight itself was nerve-wracking. After crossing the Red Sea, the plane began shaking and swinging, creating a sense of instability that lasted until we landed. The turbulence was persistent and frightening, making me worry for my safety.
The landing was equally unsettling. It felt unstable and rough, and I thought we were nearly crashing.

While my outbound experience with Saudi Airlines was commendable, the return trip raised serious concerns about the consistency of service, aircraft maintenance, and crew training. I hope the airline addresses these issues to ensure a safer and more reliable experience for passengers in the future."
478,5d262804-ac4f-53a4-a584-e34c28506151,tripadvisor,flyadeal,en,2025-01-10,"Not recommended for my family and friends I arrived January 10 at 2:00 pm the airport, we stayed 5 hours in the airport and stocked with all of the issues we faced , I arrived dubai 9:25 pm",1.75,,,"Not recommended for my family and friends I arrived January 10 at 2:00 pm the airport, we stayed 5 hours in the airport and stocked with all of the issues we faced , I arrived dubai 9:25 pm"
529,e4ce61fc-527d-523a-ae9e-211a8185f9c3,tripadvisor,saudia,en,2025-01-10,"Worst Worst airline, as a Saudi myself I rather fly Ryan air than this airline. First it’s seats are just horrible with disgusting thing on it, second, the planes are very old, third, we got sent back to the gate after we literally stayed 1 hour in the plane. Absolutely do not recommend it.",1.0,,,"Worst Worst airline, as a Saudi myself I rather fly Ryan air than this airline. First it’s seats are just horrible with disgusting thing on it, second, the planes are very old, third, we got sent back to the gate after we literally stayed 1 hour in the plane. Absolutely do not recommend it."
530,9284457a-c335-5f4e-8285-b6eb4dc9dec8,tripadvisor,saudia,en,2025-01-10,AVOID AVOID AVOID Was transferred to this dreadful airline from Cathay Pacific due to cancellations. The whole flight was the most unnerving experience have ever had. If this was to happen again to me I would cancel my trip. THE worst airline I have ever flown with and I have flown a lot. AVOID AVOID AVOID,5.0,,,AVOID AVOID AVOID Was transferred to this dreadful airline from Cathay Pacific due to cancellations. The whole flight was the most unnerving experience have ever had. If this was to happen again to me I would cancel my trip. THE worst airline I have ever flown with and I have flown a lot. AVOID AVOID AVOID
554,da3a2f5b-b36b-54f9-843a-a3e8538d7940,tripadvisor,flynas,en,2025-01-04,Worst airlines Very bad service. We had paid for add on meals but they didn’t give us any meals. Even when asked for an extra bottle of water the didn’t come back. Moreover our our flight instead of landing in dammam hat to be redirected to Riyadh airport due to bad weather and they didn’t even provide us with any refreshments let alone the add on meal. We were seated in the plane in Riyadh airport for about 3 hours and the crew was least bothered and were having snacks and casually chitchatting with each other while being very rude to the passengers.,1.625,,,Worst airlines Very bad service. We had paid for add on meals but they didn’t give us any meals. Even when asked for an extra bottle of water the didn’t come back. Moreover our our flight instead of landing in dammam hat to be redirected to Riyadh airport due to bad weather and they didn’t even provide us with any refreshments let alone the add on meal. We were seated in the plane in Riyadh airport for about 3 hours and the crew was least bothered and were having snacks and casually chitchatting with each other while being very rude to the passengers.
626,7f0d1b47-9d3d-5996-b100-f4da2e671c44,tripadvisor,saudia,en,2025-01-04,"SAUDI ARABIA IS THE WIRST AIRLINE HORRIBLE AIRLINE. The worst cabin crew I've seen till date! I flew flight no SV770
today from madinah to Jeddha to Bombay.
They took my cabin bags just before stepping on the plane without informing us it will be put in the cargo and my electronic items were in it. Upon requesting to retrieve the electronics from my bag, JAMAL, cabin crew member and another member didn't let me do so and started yelling at me at the top of their lungs for trying to tell them I need it.Despite the fact that they were at fault for not informing us that only our cabin baggage would be put in cargo. My iPad has returned with a cracked screen all thanks to Saudi Airlines.
It's a joke in the name of an Airlines. I'm perplexed by how it's yet operating with such poor service.",1.5,,,"SAUDI ARABIA IS THE WIRST AIRLINE HORRIBLE AIRLINE. The worst cabin crew I've seen till date! I flew flight no SV770
today from madinah to Jeddha to Bombay.
They took my cabin bags just before stepping on the plane without informing us it will be put in the cargo and my electronic items were in it. Upon requesting to retrieve the electronics from my bag, JAMAL, cabin crew member and another member didn't let me do so and started yelling at me at the top of their lungs for trying to tell them I need it.Despite the fact that they were at fault for not informing us that only our cabin baggage would be put in cargo. My iPad has returned with a cracked screen all thanks to Saudi Airlines.
It's a joke in the name of an Airlines. I'm perplexed by how it's yet operating with such poor service."
628,9521a97c-e448-53a6-8061-642f171cab6c,tripadvisor,saudia,en,2025-01-04,"Horrible Experience with Saudi Airlines – Worst Airline Ever! I had an awful experience on Saudi Airlines Flight SV 120 from London to Dhaka on 29th November 2024. They completely destroyed one of my suitcases, making it entirely unusable—part of the luggage was literally missing! To make matters worse, they lost another piece of luggage weighing 23kg. Shockingly, I wasn’t the only victim—four other families on the same flight also had missing luggage.

After a grueling 13-hour flight, imagine standing in front of the luggage belt for two hours, exhausted, with tired eyes, a sick wife, and a 2-year-old baby, waiting for bags that never arrived. Not a single apology from the airline staff—absolutely no empathy or accountability.

It took 48 hours for them to return the missing luggage, but only after I called them over 25 times! By the time it arrived, everything inside—clothes and food—was ruined due to mishandling. The entire ordeal left me frustrated and drained.

The service onboard was equally appalling. There was no menu choice—just one option: rice and peas! I don’t mind vegetarian food occasionally, but being forced to eat that with no alternative felt like I had been cheated. I paid good money for this flight and expected decent service, but what I got was a complete shambles.

Saudi Airlines, you’ve truly earned the title of the worst airline in the world. Never again!!!!🤬🤬🤬",1.125,,,"Horrible Experience with Saudi Airlines – Worst Airline Ever! I had an awful experience on Saudi Airlines Flight SV 120 from London to Dhaka on 29th November 2024. They completely destroyed one of my suitcases, making it entirely unusable—part of the luggage was literally missing! To make matters worse, they lost another piece of luggage weighing 23kg. Shockingly, I wasn’t the only victim—four other families on the same flight also had missing luggage.

After a grueling 13-hour flight, imagine standing in front of the luggage belt for two hours, exhausted, with tired eyes, a sick wife, and a 2-year-old baby, waiting for bags that never arrived. Not a single apology from the airline staff—absolutely no empathy or accountability.

It took 48 hours for them to return the missing luggage, but only after I called them over 25 times! By the time it arrived, everything inside—clothes and food—was ruined due to mishandling. The entire ordeal left me frustrated and drained.

The service onboard was equally appalling. There was no menu choice—just one option: rice and peas! I don’t mind vegetarian food occasionally, but being forced to eat that with no alternative felt like I had been cheated. I paid good money for this flight and expected decent service, but what I got was a complete shambles.

Saudi Airlines, you’ve truly earned the title of the worst airline in the world. Never again!!!!🤬🤬🤬"
629,6c711944-e054-5a60-883d-e38e6d344433,tripadvisor,saudia,en,2025-01-04,"Never again!! Worst experience of my life. Boarded late and then the whole plane off boarded after an hour. No customer services when requesting a refund. People left out in the cold and asked to go home. First and last time travelling with this joke of an airline. The excuse we received was that the pilot has refused to fly. This begs the question, why board the plane in the first place?",1.125,,,"Never again!! Worst experience of my life. Boarded late and then the whole plane off boarded after an hour. No customer services when requesting a refund. People left out in the cold and asked to go home. First and last time travelling with this joke of an airline. The excuse we received was that the pilot has refused to fly. This begs the question, why board the plane in the first place?"
630,2e1ba791-6371-5ebe-a9d7-749ae87d73e2,tripadvisor,saudia,en,2025-01-04,Worst flight i have ever taken in my entire life Their airplane staff is extremely rude. They don’t come when you call them using the call button. And if you press it repeatedly they will shout at you as if you are traveling for free. Never travel on saudi airlines,2.875,,,Worst flight i have ever taken in my entire life Their airplane staff is extremely rude. They don’t come when you call them using the call button. And if you press it repeatedly they will shout at you as if you are traveling for free. Never travel on saudi airlines
